User ID,Username,Time Entry ID,Billable,Time Labels,Start,Start Text,Stop,Stop Text,Time Tracked,Time Tracked Text,Space ID,Space Name,Folder ID,Job Number,List ID,Task ID,Task Name,Task Status,Due Date,Due Date Text,Start Date,Start Date Text,Task Time Estimated,Task Time Estimated Text,Task Time Spent,Task Time Spent Text,User Total Time Estimated,User Total Time Estimated Text,User Total Time Tracked,User Total Time Tracked Text,Tags,Checklists,User Period Time Spent,User Period Time Spent Text,Date Created,Date Created Text,Custom Task ID,Parent Task ID,Booking Codes,DAYS WORKED,Team,DAYS LATE,Days Late,Deadline,ECO
48293477,John,3.18414E+18,FALSE,[],1.6654E+12,"10/10/2022, 12:37:00 PM BST",1.66541E+12,"10/10/2022, 3:37:00 PM BST",10800000,3 h ,32648345,MECH Team,98524943,25306,182472686,2yfhjgg,CR-6362 SRY-320 Rear Retention,complete,1.66554E+12,"10/12/2022, 4:00:00 AM BST",,,,,25200000,7 h ,264600000,73 h 30 m,547200000,152 h ,[],{},25200000,7 h ,1.6654E+12,"10/10/2022, 10:53:17 AM BST",,,CHNG-GENL,-21,Mech,,,,CR-6362
48293477,John,3.18414E+18,FALSE,[],1.6654E+12,"10/10/2022, 1:09:00 PM BST",1.66541E+12,"10/10/2022, 3:39:00 PM BST",9000000,2 h 30 m,44553575,JOBS - VALIDATION & TEST,98651611,29010,182423544,2dadk4k,Assembly Drawings,in progress,1.66848E+12,"11/15/2022, 3:00:00 AM GMT",1.66822E+12,"11/12/2022, 3:00:00 AM GMT",25200000,7 h ,99900000,27 h 45 m,264600000,73 h 30 m,547200000,152 h ,[],{},78300000,21 h 45 m,1.6539E+12,"05/30/2022, 9:47:41 AM BST",,,GA-INSTR,-8,Mech,,,,
48293477,John,3.18414E+18,FALSE,[],1.66541E+12,"10/10/2022, 3:10:00 PM BST",1.66541E+12,"10/10/2022, 3:40:00 PM BST",1800000,30 m,32648345,MECH Team,98524943,25306,182472686,2h8bbub,Timesheets,open-ended,,,,,,,57600000,16 h ,264600000,73 h 30 m,547200000,152 h ,[],{},9000000,2 h 30 m,1.65582E+12,"06/21/2022, 2:09:47 PM BST",,,ENG-INDRCT,1,Mech,,,,
48293477,John,3.18414E+18,FALSE,[],1.66541E+12,"10/10/2022, 3:11:00 PM BST",1.66541E+12,"10/10/2022, 3:41:00 PM BST",1800000,30 m,32648345,MECH Team,98524943,25306,182472686,2ghbg2u,Misc Meetings,open-ended,,,,,,,163800000,45 h 30 m,264600000,73 h 30 m,547200000,152 h ,[],{},28800000,8 h ,1.65537E+12,"06/16/2022, 10:30:35 AM BST",,,INDR-MTNG,1,Mech,,,,
48293477,John,3.18414E+18,FALSE,[],1.66549E+12,"10/11/2022, 12:40:00 PM BST",1.6655E+12,"10/11/2022, 3:40:00 PM BST",10800000,3 h ,44553575,JOBS - VALIDATION & TEST,98651611,29010,182423544,2dadk4k,Assembly Drawings,in progress,1.66848E+12,"11/15/2022, 3:00:00 AM GMT",1.66822E+12,"11/12/2022, 3:00:00 AM GMT",25200000,7 h ,99900000,27 h 45 m,264600000,73 h 30 m,547200000,152 h ,[],{},78300000,21 h 45 m,1.6539E+12,"05/30/2022, 9:47:41 AM BST",,,GA-INSTR,-8,Mech,,,,
48293477,John,3.18414E+18,FALSE,[],1.6655E+12,"10/11/2022, 2:37:00 PM BST",1.6655E+12,"10/11/2022, 3:37:00 PM BST",3600000,1 h ,32648345,MECH Team,98524943,25306,182472686,2yfhjgg,CR-6362 SRY-320 Rear Retention,complete,1.66554E+12,"10/12/2022, 4:00:00 AM BST",,,,,25200000,7 h ,264600000,73 h 30 m,547200000,152 h ,[],{},25200000,7 h ,1.6654E+12,"10/10/2022, 10:53:17 AM BST",,,CHNG-GENL,-21,Mech,,,,CR-6362
48293477,John,3.18414E+18,FALSE,[],1.6655E+12,"10/11/2022, 3:11:00 PM BST",1.6655E+12,"10/11/2022, 3:41:00 PM BST",1800000,30 m,32648345,MECH Team,98524943,25306,182472686,2ghbg2u,Misc Meetings,open-ended,,,,,,,163800000,45 h 30 m,264600000,73 h 30 m,547200000,152 h ,[],{},28800000,8 h ,1.65537E+12,"06/16/2022, 10:30:35 AM BST",,,INDR-MTNG,1,Mech,,,,
48293477,John,3.18414E+18,FALSE,[],1.6655E+12,"10/11/2022, 3:44:00 PM BST",1.66551E+12,"10/11/2022, 6:44:00 PM BST",10800000,3 h ,38457801,JOBS,92676281,28680,170533087,258rh98,22555 BOM update,complete,1.65284E+12,"05/18/2022, 4:00:00 AM BST",1.65267E+12,"05/16/2022, 4:00:00 AM BST",10800000,3 h ,14400000,4 h ,264600000,73 h 30 m,547200000,152 h ,"[""mechanical""]",{},14400000,4 h ,1.64821E+12,"03/25/2022, 12:51:32 PM GMT",,,MECH-DESIGN,3,Mech,,,,
48293477,John,3.18413E+18,FALSE,[],1.66558E+12,"10/12/2022, 1:32:09 PM BST",1.66559E+12,"10/12/2022, 3:32:09 PM BST",7200000,2 h ,38457801,JOBS,110607778,30584,200488818,2waxgcw,BOM Release,complete,1.66554E+12,"10/12/2022, 4:00:00 AM BST",1.66546E+12,"10/11/2022, 4:00:00 AM BST",14400000,4 h ,25200000,7 h ,264600000,73 h 30 m,547200000,152 h ,"[""eng release""]","{""Checklist"":[""GA Creation""]}",25200000,7 h ,1.66395E+12,"09/23/2022, 5:16:47 PM BST",,,MECH-DESIGN,2,Mech,6,6,"10/05/2022, 4:00:00 AM BST",
48293477,John,3.18414E+18,FALSE,[],1.66558E+12,"10/12/2022, 1:38:08 PM BST",1.66559E+12,"10/12/2022, 3:38:08 PM BST",7200000,2 h ,32648345,MECH Team,98524943,25306,182472686,2yfhjgg,CR-6362 SRY-320 Rear Retention,complete,1.66554E+12,"10/12/2022, 4:00:00 AM BST",,,,,25200000,7 h ,264600000,73 h 30 m,547200000,152 h ,[],{},25200000,7 h ,1.6654E+12,"10/10/2022, 10:53:17 AM BST",,,CHNG-GENL,-21,Mech,,,,CR-6362
